epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.736,3.12039,3.26583,3.87218,0.63794,0.68574,0.7095,0.34628,1.78561,1.7249,2.69593,0.00331962,0.00331962,0.00331962
2,126.461,1.38673,1.13688,1.88081,0.99988,0.9997,0.995,0.81013,0.73975,0.60458,1.35277,0.00662002,0.00662002,0.00662002
3,186.834,0.90738,0.71682,1.37287,0.99994,1,0.995,0.83624,0.6251,0.47436,1.2092,0.00988742,0.00988742,0.00988742
4,246.568,0.66832,0.52215,1.14752,0.99992,1,0.995,0.90101,0.45153,0.34616,1.0167,0.0098515,0.0098515,0.0098515
5,306.347,0.53078,0.40545,1.03056,0.99996,1,0.995,0.91596,0.39533,0.31273,0.96757,0.009802,0.009802,0.009802
6,366.11,0.45633,0.35062,0.97962,0.99974,0.9997,0.995,0.95627,0.31724,0.26336,0.90181,0.0097525,0.0097525,0.0097525
7,425.668,0.41279,0.31064,0.9419,0.99997,1,0.995,0.95598,0.30004,0.22744,0.8794,0.009703,0.009703,0.009703
8,485.389,0.37943,0.28595,0.9194,0.99998,1,0.995,0.98329,0.23105,0.19758,0.83833,0.0096535,0.0096535,0.0096535
9,544.897,0.35447,0.26574,0.9054,0.99998,1,0.995,0.98814,0.21512,0.1919,0.83272,0.009604,0.009604,0.009604
10,604.913,0.33607,0.25308,0.8918,0.99996,1,0.995,0.99025,0.19543,0.16669,0.81768,0.0095545,0.0095545,0.0095545
11,664.698,0.32166,0.24265,0.88437,0.99997,1,0.995,0.99355,0.18033,0.16287,0.80895,0.009505,0.009505,0.009505
12,724.229,0.3053,0.23137,0.87523,0.9999,1,0.995,0.99379,0.18378,0.15451,0.81177,0.0094555,0.0094555,0.0094555
13,783.993,0.29481,0.22352,0.87054,0.99998,1,0.995,0.99211,0.19417,0.15826,0.81616,0.009406,0.009406,0.009406
14,843.563,0.2828,0.21683,0.86473,0.99998,1,0.995,0.9939,0.17217,0.14702,0.80776,0.0093565,0.0093565,0.0093565
