epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1362.93,1.24765,0.83559,1.30832,0.90019,0.86384,0.93102,0.70675,0.89368,0.51748,1.09493,0.00333269,0.00333269,0.00333269
2,2671.41,0.91421,0.52259,1.06749,0.93513,0.91273,0.96648,0.77521,0.76442,0.40863,1.01253,0.00663303,0.00663303,0.00663303
3,3955.96,0.84656,0.46711,1.02605,0.94892,0.9312,0.97738,0.80156,0.71452,0.36872,0.9801,0.00990036,0.00990036,0.00990036
4,5231.89,0.80412,0.43523,1.00213,0.95654,0.93866,0.98272,0.81922,0.68189,0.3409,0.95968,0.0098515,0.0098515,0.0098515
5,6507,0.76629,0.40684,0.98268,0.96016,0.94639,0.98558,0.83098,0.65924,0.3216,0.94663,0.009802,0.009802,0.009802
6,7777.99,0.7419,0.38872,0.96861,0.96396,0.94936,0.98722,0.83838,0.645,0.30935,0.93699,0.0097525,0.0097525,0.0097525
7,9050.03,0.72528,0.37665,0.96167,0.9664,0.951,0.98811,0.84451,0.634,0.30124,0.93008,0.009703,0.009703,0.009703
8,10320,0.71213,0.36702,0.95422,0.96728,0.95334,0.98884,0.84902,0.62572,0.295,0.92513,0.0096535,0.0096535,0.0096535
9,11591.6,0.70202,0.35984,0.9497,0.96698,0.95524,0.98926,0.85166,0.62004,0.29026,0.92182,0.009604,0.009604,0.009604
10,12858.9,0.6928,0.35424,0.94465,0.96846,0.95554,0.98957,0.85433,0.61529,0.28668,0.91922,0.0095545,0.0095545,0.0095545
11,14128.2,0.68615,0.34965,0.94159,0.9691,0.95646,0.98981,0.85603,0.61168,0.28403,0.91724,0.009505,0.009505,0.009505
12,15395.4,0.6805,0.3456,0.93765,0.96943,0.9571,0.99002,0.85741,0.60877,0.28222,0.91538,0.0094555,0.0094555,0.0094555
13,16661.4,0.67495,0.34183,0.93578,0.9696,0.95789,0.99017,0.85885,0.60625,0.28078,0.91381,0.009406,0.009406,0.009406
14,17929.2,0.67155,0.33967,0.93352,0.96936,0.95875,0.99029,0.85968,0.60394,0.27965,0.91239,0.0093565,0.0093565,0.0093565
15,19225.7,0.66524,0.33592,0.93084,0.96962,0.95912,0.9904,0.8607,0.6018,0.27845,0.91111,0.009307,0.009307,0.009307
16,20519.1,0.66163,0.33366,0.92927,0.96974,0.9601,0.99052,0.86153,0.59984,0.27772,0.90999,0.0092575,0.0092575,0.0092575
17,21817.6,0.65729,0.33103,0.92671,0.97058,0.9604,0.99067,0.86279,0.59802,0.27672,0.90899,0.009208,0.009208,0.009208
18,23114.5,0.655,0.32972,0.92558,0.97075,0.96088,0.99077,0.86389,0.59624,0.27615,0.90796,0.0091585,0.0091585,0.0091585
19,24412.6,0.65208,0.3281,0.92284,0.97101,0.96144,0.99089,0.86523,0.59445,0.27555,0.90674,0.009109,0.009109,0.009109
20,25710.9,0.64879,0.32614,0.92162,0.97147,0.96188,0.99104,0.86625,0.59258,0.27482,0.90555,0.0090595,0.0090595,0.0090595
21,27010.7,0.64532,0.32383,0.9198,0.97187,0.96227,0.99114,0.86729,0.59068,0.27389,0.90436,0.00901,0.00901,0.00901
22,28314.7,0.64284,0.32206,0.91814,0.97264,0.96245,0.99123,0.86812,0.58889,0.2731,0.9031,0.0089605,0.0089605,0.0089605
23,29619.8,0.64261,0.32171,0.91716,0.97279,0.96324,0.99135,0.86949,0.58683,0.27194,0.90159,0.008911,0.008911,0.008911
24,30925.1,0.63971,0.32034,0.9164,0.97292,0.96407,0.99147,0.87035,0.58481,0.27058,0.90022,0.0088615,0.0088615,0.0088615
25,32234.1,0.63768,0.31952,0.91391,0.9729,0.96493,0.99157,0.87126,0.58281,0.26952,0.89886,0.008812,0.008812,0.008812
26,33543.7,0.63533,0.31817,0.91359,0.97362,0.96512,0.99164,0.87236,0.58075,0.26815,0.89761,0.0087625,0.0087625,0.0087625
27,34850.3,0.63324,0.31669,0.9108,0.97397,0.96554,0.99172,0.87378,0.57879,0.26709,0.89628,0.008713,0.008713,0.008713
28,36164,0.63157,0.31597,0.90989,0.97399,0.96608,0.99181,0.87447,0.57677,0.26627,0.89482,0.0086635,0.0086635,0.0086635
29,37471.8,0.63022,0.31547,0.90922,0.97474,0.96602,0.99187,0.87527,0.57481,0.26492,0.89333,0.008614,0.008614,0.008614
30,38779.9,0.62839,0.31411,0.90817,0.9752,0.96631,0.99196,0.87592,0.57273,0.26367,0.89171,0.0085645,0.0085645,0.0085645
31,40087.9,0.62613,0.31316,0.9066,0.97571,0.96641,0.99203,0.87681,0.57074,0.26177,0.88993,0.008515,0.008515,0.008515
32,41395.6,0.6247,0.31228,0.9059,0.97585,0.96682,0.99211,0.87797,0.56883,0.26014,0.88857,0.0084655,0.0084655,0.0084655
33,42704.8,0.62331,0.31153,0.90594,0.97607,0.96717,0.99216,0.87894,0.56692,0.2588,0.88738,0.008416,0.008416,0.008416
34,44008.3,0.62243,0.3109,0.90626,0.97636,0.96714,0.99222,0.87961,0.56516,0.25734,0.88642,0.0083665,0.0083665,0.0083665
35,45314.5,0.61972,0.30998,0.90347,0.97653,0.96725,0.99228,0.88054,0.56343,0.25626,0.8853,0.008317,0.008317,0.008317
36,46616.3,0.61994,0.3094,0.90053,0.97666,0.96757,0.99234,0.88139,0.56168,0.25503,0.88389,0.0082675,0.0082675,0.0082675
37,47909.1,0.61693,0.30823,0.90026,0.97665,0.96816,0.99239,0.88192,0.55995,0.25376,0.88263,0.008218,0.008218,0.008218
38,49213.3,0.61577,0.30816,0.90038,0.97693,0.96835,0.99247,0.88278,0.55839,0.2527,0.88159,0.0081685,0.0081685,0.0081685
39,50519.1,0.61473,0.30724,0.8999,0.97701,0.9686,0.9925,0.8834,0.55679,0.25172,0.88061,0.008119,0.008119,0.008119
40,51823.8,0.61303,0.30619,0.89861,0.97741,0.9687,0.99254,0.88403,0.55517,0.25075,0.87971,0.0080695,0.0080695,0.0080695
41,53129.7,0.61354,0.30852,0.89742,0.97706,0.96932,0.99257,0.88463,0.55373,0.24975,0.87883,0.00802,0.00802,0.00802
42,54440.6,0.61725,0.31383,0.89379,0.97661,0.97012,0.99263,0.88543,0.55232,0.24859,0.87789,0.0079705,0.0079705,0.0079705
43,55749.6,0.61743,0.31353,0.89286,0.97697,0.97047,0.99268,0.88602,0.55103,0.24793,0.87691,0.007921,0.007921,0.007921
44,57061.2,0.61583,0.31226,0.89263,0.97736,0.97069,0.99273,0.88647,0.54956,0.24712,0.87606,0.0078715,0.0078715,0.0078715
45,1260.66,0.61378,0.31047,0.89585,0.97766,0.97065,0.99275,0.88714,0.54841,0.24597,0.87564,0.007822,0.007822,0.007822
46,2525.56,0.61976,0.31398,0.89688,0.97762,0.9708,0.99276,0.88727,0.54739,0.24503,0.87536,0.0077725,0.0077725,0.0077725
47,3790.1,0.6183,0.3132,0.89507,0.97741,0.9711,0.99276,0.88686,0.54662,0.24441,0.87498,0.007723,0.007723,0.007723
48,5050.59,0.61619,0.31194,0.89259,0.97741,0.97116,0.99277,0.88646,0.54575,0.2438,0.87441,0.0076735,0.0076735,0.0076735
49,6312.22,0.61615,0.31131,0.89307,0.97757,0.97115,0.99278,0.88619,0.54491,0.2433,0.87397,0.007624,0.007624,0.007624
50,7568.2,0.61583,0.31098,0.89243,0.97727,0.97164,0.99275,0.88644,0.54451,0.24329,0.87364,0.0075745,0.0075745,0.0075745
51,8824.98,0.61426,0.3106,0.89168,0.97777,0.97144,0.99261,0.88655,0.54479,0.24415,0.87314,0.007525,0.007525,0.007525
52,10082.5,0.6121,0.30947,0.88909,0.97801,0.97125,0.99252,0.88715,0.54569,0.24555,0.87249,0.0074755,0.0074755,0.0074755
53,11334.8,0.61174,0.3088,0.89071,0.97815,0.97123,0.99261,0.88797,0.54666,0.24684,0.87196,0.007426,0.007426,0.007426
